Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts5,Chrome 103.0.5060.134,,,2022-08-09 13:38:39,2022-08-09 14:05:29,26m - 50.112s,PASSED
,,,,,,,
Test Cases/tc5,Chrome 103.0.5060.134,,,2022-08-09 13:38:42,2022-08-09 14:05:29,26m - 46.855s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-09 13:38:47,2022-08-09 13:39:17,29.749s,PASSED
"navigateToUrl(""https://secure.robbooker.com/staging/oc_exc_popo_crosssell/?inv_campaign=MID0023398"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:17,2022-08-09 13:39:21,4.318s,PASSED
"setText(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/input_Enter Your Email to Unlock the System_f96648""), ""nith279+quiz908tc5e@yahoo.com"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:21,2022-08-09 13:39:28,6.771s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  VSL Page/button_Watch the Presentation""))",Chrome 103.0.5060.134,,,2022-08-09 13:39:28,2022-08-09 13:39:49,21.596s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_fn""), ""Fn"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:49,2022-08-09 13:39:56,6.578s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_ln""), ""Ln"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:56,2022-08-09 13:39:58,2.112s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Contact Information_phone""), ""424 2"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:58,2022-08-09 13:39:59,0.880s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_street""), ""Sa"")",Chrome 103.0.5060.134,,,2022-08-09 13:39:59,2022-08-09 13:40:04,5.290s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Billing Information_city""), ""Cty"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:04,2022-08-09 13:40:06,1.903s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_ccno""), ""4000 0029 2000 0005"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:06,2022-08-09 13:40:07,1.034s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_/select_202220232024202520262027202820292030_d6720a""), ""2028"", true)",Chrome 103.0.5060.134,,,2022-08-09 13:40:07,2022-08-09 13:40:13,5.745s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_cccode""), ""123"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:13,2022-08-09 13:40:14,0.907s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Payment Information_zip""), ""32004"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:14,2022-08-09 13:40:15,1.261s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:40:15,2022-08-09 13:40:16,0.648s,PASSED
"tn = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:16,2022-08-09 13:40:16,0.014s,PASSED
"while (tn != ""01:55"")",Chrome 103.0.5060.134,,,2022-08-09 13:40:16,2022-08-09 13:55:00,14m - 44.535s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Order Now""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:00,2022-08-09 13:55:36,35.726s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/input_Do nothing. You can bury your head in_b06974""))",Chrome 103.0.5060.134,,,2022-08-09 13:55:36,2022-08-09 13:55:43,7.094s,PASSED
"use(groovy.time.TimeCategory, { -> ... })",Chrome 103.0.5060.134,,,2022-08-09 13:55:43,2022-08-09 13:55:43,0.006s,PASSED
"tu = today.format(""hh:mm"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:43,2022-08-09 13:55:43,0.001s,PASSED
"while (tu != ""02:05"")",Chrome 103.0.5060.134,,,2022-08-09 13:55:43,2022-08-09 14:05:00,9m - 17.252s,PASSED
"click(findTestObject(""Object Repository/Page_The Exotics Club  Jump Trade Profit Alerts/button_Yes, Give Me LIFETIME Access to Jump_54a76a""))",Chrome 103.0.5060.134,,,2022-08-09 14:05:00,2022-08-09 14:05:24,23.451s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-09 14:05:24,2022-08-09 14:05:29,5.479s,PASSED
